       Time_s           01           02           03           04           05
   1.2300E-06   8.0000E+01   3.0000E+02   1.5487E+04   4.5172E+00   9.0383E+04
   1.2350E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.5467E+00   9.0974E+04
   1.2400E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.5729E+00   9.1497E+04
   1.2450E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.6000E+00   9.2040E+04
   1.2500E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.6277E+00   9.2595E+04
   1.2550E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.6559E+00   9.3159E+04
   1.2600E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.6843E+00   9.3727E+04
   1.2650E-06   8.0000E+01   3.0000E+02   1.5508E+04   4.7129E+00   9.4300E+04
   1.2700E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.7427E+00   9.4897E+04
   1.2750E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.7703E+00   9.5450E+04
   1.2800E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.7988E+00   9.6019E+04
   1.2850E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.8278E+00   9.6599E+04
   1.2900E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.8571E+00   9.7187E+04
   1.2950E-06   8.0000E+01   3.0000E+02   1.5529E+04   4.8867E+00   9.7779E+04
   1.3000E-06   8.0000E+01   3.0000E+02   1.5551E+04   4.9178E+00   9.8403E+04
   1.3050E-06   8.0000E+01   3.0000E+02   1.5551E+04   4.9462E+00   9.8971E+04
   1.3100E-06   8.0000E+01   3.0000E+02   1.5551E+04   4.9756E+00   9.9558E+04
   1.3150E-06   8.0000E+01   3.0000E+02   1.5551E+04   5.0055E+00   1.0016E+05
   1.3200E-06   8.0000E+01   3.0000E+02   1.5551E+04   5.0358E+00   1.0076E+05
   1.3250E-06   8.0000E+01   3.0000E+02   1.5551E+04   5.0664E+00   1.0138E+05
   1.3300E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.0986E+00   1.0202E+05
   1.3350E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.1280E+00   1.0261E+05
   1.3400E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.1583E+00   1.0322E+05
   1.3450E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.1893E+00   1.0384E+05
   1.3500E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.2206E+00   1.0447E+05
   1.3550E-06   8.0000E+01   3.0000E+02   1.5572E+04   5.2523E+00   1.0510E+05
   1.3600E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.2857E+00   1.0577E+05
   1.3650E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.3160E+00   1.0637E+05
   1.3700E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.3474E+00   1.0700E+05
   1.3750E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.3793E+00   1.0764E+05
   1.3800E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.4118E+00   1.0829E+05
   1.3850E-06   8.0000E+01   3.0000E+02   1.5594E+04   5.4444E+00   1.0895E+05
   1.3900E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.4791E+00   1.0964E+05
   1.3950E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.5103E+00   1.1026E+05
   1.4000E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.5427E+00   1.1091E+05
   1.4050E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.5758E+00   1.1158E+05
   1.4100E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.6093E+00   1.1225E+05
   1.4150E-06   8.0000E+01   3.0000E+02   1.5617E+04   5.6431E+00   1.1292E+05
   1.4200E-06   8.0000E+01   3.0000E+02   1.5639E+04   5.6777E+00   1.1362E+05
   1.4250E-06   8.0000E+01   3.0000E+02   1.5639E+04   5.7106E+00   1.1428E+05
   1.4300E-06   8.0000E+01   3.0000E+02   1.5639E+04   5.7445E+00   1.1495E+05
   1.4350E-06   8.0000E+01   3.0000E+02   1.5639E+04   5.7788E+00   1.1564E+05
   1.4400E-06   8.0000E+01   3.0000E+02   1.5639E+04   5.8135E+00   1.1634E+05
   1.4450E-06   8.0000E+01   3.0000E+02   1.5661E+04   5.8501E+00   1.1707E+05
